,index,frompos,topos,frompla,topla,fromid,toid,newfpos,newtpos,newfposname,newtposname,playNum,period
94,94,16,8,5460,20004,46,24,2,2,Mid,Mid,95,95
95,95,8,9,20004,5469,24,11,2,2,Mid,Mid,96,96
96,96,20,21,5474,5487,6,41,2,3,Mid,Fw,97,97
97,97,23,9,3604,5469,22,11,3,2,Fw,Mid,98,98
98,98,1,23,5461,3604,32,22,1,3,Def,Fw,99,99
99,99,5,12,5484,5463,37,2,1,2,Def,Mid,100,100
100,100,5,1,5457,5476,9,38,1,1,Def,Def,101,101
101,101,21,14,5487,5470,41,7,3,2,Fw,Mid,102,102
102,102,22,8,5472,20004,0,24,3,2,Fw,Mid,103,103
103,103,21,12,3009,5463,42,2,3,2,Fw,Mid,104,104
104,104,14,8,5470,20004,7,24,2,2,Mid,Mid,105,105
105,105,11,4,2948,5468,50,13,2,1,Mid,Def,106,106
106,106,5,0,5459,3099,48,18,1,0,Def,GK,107,107
107,107,11,9,2948,5469,50,11,2,2,Mid,Mid,108,108
108,108,4,8,5468,20004,13,24,1,2,Def,Mid,109,109
109,109,11,1,2948,5461,50,32,2,1,Mid,Def,110,110
110,110,14,0,5470,3099,7,18,2,0,Mid,GK,111,111
111,111,10,9,5737,5469,44,11,2,2,Mid,Mid,112,112
112,112,22,4,5472,5492,0,20,3,1,Fw,Def,113,113
113,113,23,9,5487,5469,41,11,3,2,Fw,Mid,114,114
114,114,5,21,5459,3009,48,42,1,3,Def,Fw,115,115
115,115,8,12,20004,5463,24,2,2,2,Mid,Mid,116,116
116,116,22,15,5472,5480,0,45,3,2,Fw,Mid,117,117
117,117,21,2,3009,3471,42,29,3,1,Fw,Def,118,118
118,118,16,10,5460,5737,46,44,2,2,Mid,Mid,119,119
119,119,23,4,5487,5468,41,13,3,1,Fw,Def,120,120
120,120,9,11,5469,2948,11,50,2,2,Mid,Mid,121,121
