,gid,plaid,posid,teamid,teamname,newpos,newposname
464,464,5737,9,771,France,1,Def
465,465,6309,1,785,Croatia,1,Def
466,466,6311,0,785,Croatia,0,GK
467,467,5739,2,785,Croatia,1,Def
468,468,6307,4,785,Croatia,1,Def
469,469,5511,4,793,Iceland,1,Def
470,470,3720,16,793,Iceland,2,Mid
471,471,5512,8,793,Iceland,1,Def
472,472,6310,12,785,Croatia,2,Mid
473,473,5510,12,779,Argentina,2,Mid
474,474,5719,11,772,Spain,2,Mid
475,475,5177,23,796,Russia,3,Fw
476,476,5193,15,796,Russia,2,Mid
477,477,6353,5,796,Russia,1,Def
478,478,5721,1,772,Spain,1,Def
479,479,5718,11,772,Spain,2,Mid
480,480,2974,14,777,Tunisia,2,Mid
481,481,4826,2,777,Tunisia,1,Def
482,482,3457,23,782,Belgium,3,Fw
483,483,2954,17,782,Belgium,2,Mid
484,484,5517,12,776,Denmark,2,Mid
485,485,5221,2,788,Morocco,1,Def
486,486,5237,15,788,Morocco,2,Mid
487,487,5232,12,788,Morocco,2,Mid
488,488,5242,14,788,Morocco,2,Mid
489,489,5245,5,788,Morocco,1,Def
490,490,5233,0,788,Morocco,0,GK
491,491,5219,4,788,Morocco,1,Def
492,492,5236,9,788,Morocco,1,Def
493,493,5726,22,788,Morocco,3,Fw
494,494,5727,1,788,Morocco,1,Def
495,495,5724,14,788,Morocco,2,Mid
496,496,6301,22,788,Morocco,3,Fw
497,497,3063,1,781,Brazil,1,Def
498,498,5464,23,775,Nigeria,3,Fw
499,499,6352,1,780,Portugal,1,Def
500,500,3707,12,780,Portugal,2,Mid
501,501,6350,12,780,Portugal,2,Mid
502,502,3262,0,789,Poland,0,GK
503,503,4685,5,789,Poland,1,Def
504,504,6336,20,789,Poland,2,Mid
505,505,3034,2,789,Poland,1,Def
506,506,6338,4,778,Japan,1,Def
507,507,6191,15,778,Japan,2,Mid
508,508,6339,11,778,Japan,2,Mid
509,509,6337,21,778,Japan,3,Fw
510,510,3810,23,778,Japan,3,Fw
511,511,6194,18,789,Poland,2,Mid
512,512,6340,20,789,Poland,2,Mid
513,513,5229,22,788,Morocco,3,Fw
514,514,3302,1,788,Morocco,1,Def
515,515,5244,2,788,Morocco,1,Def
516,516,5243,20,788,Morocco,2,Mid
517,517,5235,1,797,Iran,1,Def
518,518,5239,11,797,Iran,2,Mid
519,519,5224,22,797,Iran,3,Fw
520,520,5231,15,797,Iran,2,Mid
521,521,5230,5,797,Iran,1,Def
522,522,5222,4,797,Iran,1,Def
523,523,5241,14,797,Iran,2,Mid
524,524,5227,0,797,Iran,0,GK
525,525,5220,2,797,Iran,1,Def
526,526,5238,12,797,Iran,2,Mid
527,527,5720,5,797,Iran,1,Def
528,528,5228,4,797,Iran,1,Def
529,529,5192,11,799,Saudi Arabia,2,Mid
530,530,5189,0,799,Saudi Arabia,0,GK
531,531,5197,4,799,Saudi Arabia,1,Def
532,532,5180,18,796,Russia,2,Mid
533,533,5176,21,799,Saudi Arabia,3,Fw
534,534,5725,23,788,Morocco,3,Fw
535,535,6317,5,794,Mexico,1,Def
536,536,6316,21,794,Mexico,3,Fw
537,537,5722,9,797,Iran,1,Def
538,538,5225,12,797,Iran,2,Mid
539,539,5226,15,797,Iran,2,Mid
540,540,4597,12,768,England,2,Mid
541,541,3594,15,768,England,2,Mid
542,542,10960,23,768,England,3,Fw
543,543,6139,4,798,Panama,1,Def
544,544,6140,16,798,Panama,2,Mid
545,545,3314,2,768,England,1,Def
546,546,3664,11,768,England,2,Mid
547,547,3645,4,768,England,1,Def
548,548,10956,9,768,England,1,Def
549,549,6332,4,782,Belgium,1,Def
550,550,6330,20,782,Belgium,2,Mid
551,551,6331,2,782,Belgium,1,Def
552,552,6359,2,773,Switzerland,1,Def
553,553,6358,1,790,Sweden,1,Def
554,554,3576,20,790,Sweden,2,Mid
555,555,6038,23,790,Sweden,3,Fw
556,556,6322,2,770,Germany,1,Def
557,557,6324,16,770,Germany,2,Mid
558,558,6323,2,791,South Korea,1,Def
559,559,3279,20,769,Colombia,2,Mid
560,560,5680,4,769,Colombia,1,Def
561,561,3531,16,774,Egypt,2,Mid
562,562,3446,1,771,France,1,Def
563,563,2999,4,771,France,1,Def
564,564,3245,20,771,France,2,Mid
565,565,3543,0,771,France,0,GK
566,566,3261,5,771,France,1,Def
567,567,6303,15,776,Denmark,2,Mid
568,568,6302,22,776,Denmark,3,Fw
569,569,4277,12,787,Senegal,2,Mid
570,570,6292,0,774,Egypt,0,GK
571,571,6290,4,799,Saudi Arabia,1,Def
572,572,6291,0,799,Saudi Arabia,0,GK
