,nullid,toid,nullpos,topos,period
0,203,2504,3,3,209
0,204,2489,0,0,208
0,204,2497,0,0,208
0,205,2496,2,2,208
0,206,2490,1,1,208
0,207,2489,0,0,208
0,207,2497,0,0,208
0,208,2496,2,2,208
0,209,2549,3,3,213
0,210,2538,0,0,212
0,211,2542,16,16,212
0,212,2565,0,0,214
0,213,2559,20,20,214
0,214,2576,14,14,215
0,215,2559,20,20,214
0,216,2571,3,3,215
0,217,2608,12,12,217
0,218,2603,16,16,217
0,219,2603,16,16,217
0,220,2606,11,11,217
0,221,2617,15,15,218
0,222,2621,0,0,218
0,223,2621,0,0,218
0,224,2634,16,16,220
0,224,2643,16,16,220
0,225,2632,20,20,220
0,226,2634,16,16,220
0,226,2643,16,16,220
0,227,2644,0,0,221
0,228,2672,3,3,222
0,229,2689,2,2,224
0,230,2685,1,1,224
0,231,2689,2,2,224
0,232,2712,3,3,225
0,233,2715,0,0,226
0,234,2771,3,3,231
0,235,2743,0,0,228
0,236,2761,15,15,231
0,237,2766,0,0,231
0,237,2770,0,0,231
0,238,2787,3,3,233
0,239,2809,20,20,234
0,240,2810,0,0,235
0,240,2820,0,0,235
0,241,2833,3,3,236
0,242,2886,0,0,241
0,243,2891,15,15,241
0,244,2919,3,3,243
0,245,2956,0,0,247
0,246,2972,0,0,249
0,247,3004,0,0,251
0,248,2995,3,3,251
0,249,3031,3,3,253
0,250,3040,0,0,255
0,251,3039,3,3,255
0,252,4054,3,3,345
0,253,3119,0,0,262
0,254,3105,4,4,261
0,254,3108,4,4,261
0,255,3075,1,1,258
0,256,3081,5,5,258
0,257,3094,5,5,260
0,257,3100,5,5,260
0,258,3151,0,0,264
0,259,3182,8,8,268
0,260,3164,4,4,266
0,261,3169,1,1,266
0,262,3187,5,5,268
0,263,3220,8,8,271
0,264,3208,5,5,270
0,265,3206,4,4,270
0,265,3210,4,4,270
0,266,3231,0,0,272
0,267,3288,0,0,277
0,268,3310,18,18,279
0,268,3311,18,18,279
0,269,3323,0,0,280
0,270,3312,22,22,279
0,271,3313,1,1,280
0,272,3340,0,0,282
0,273,3398,1,1,286
0,273,3404,1,1,286
0,274,3393,2,2,286
0,274,3399,2,2,286
0,275,3400,0,0,286
0,276,3440,0,0,290
0,277,3450,16,16,291
0,277,3453,16,16,291
0,278,3463,0,0,292
0,279,3475,22,22,294
0,280,3485,18,18,294
0,281,3478,0,0,294
0,282,3485,18,18,294
0,283,3500,2,2,296
0,283,3507,2,2,296
0,284,3502,1,1,296
0,284,3508,1,1,296
0,285,3500,2,2,296
0,285,3507,2,2,296
0,286,3524,0,0,298
0,287,3524,0,0,298
0,288,3613,1,1,305
0,288,3619,1,1,305
0,289,3621,8,8,305
0,290,3613,1,1,305
0,290,3619,1,1,305
0,291,3611,4,4,305
0,291,3617,4,4,305
0,292,3609,5,5,305
0,292,3620,5,5,305
0,293,3611,4,4,305
0,293,3617,4,4,305
0,294,3639,0,0,307
0,295,3639,0,0,307
0,296,3653,20,20,308
0,296,3655,20,20,308
0,297,3674,0,0,310
0,297,3676,0,0,310
0,298,3695,0,0,312
0,299,3695,0,0,312
0,300,3709,4,4,314
0,300,3712,4,4,314
0,301,3735,18,18,315
0,302,3723,22,22,315
